d_over_a,xi_over_a,theta_degrees,sites_per_layer,intralayer_second_moment,interlayer_second_moment,total_second_moment,identity_absolute_error
0.97,0.03,34.5,1510,2.9284768211920613,0.5009902735480964,3.429467094740159,1.3322676295501878e-15
0.97,0.03,36.0,1510,2.9284768211920613,0.5283012645273464,3.4567780857194075,2.220446049250313e-16
0.97,0.03,37.49999999999999,1510,2.9284768211920613,0.5307060780773385,3.4591828992694005,6.661338147750939e-16
0.97,0.03,39.0,1510,2.9284768211920613,0.5301838130623874,3.45866063425445,1.2212453270876722e-15
0.97,0.03,40.5,1510,2.9284768211920613,0.5037491948446496,3.432226016036711,1.1102230246251565e-16
0.97,0.03,41.99999999999999,1510,2.9284768211920613,0.48879734047309614,3.4172741616651576,1.6653345369377348e-16
0.97,0.03,43.5,1510,2.9284768211920613,0.5486708435692556,3.477147664761317,2.220446049250313e-16
0.97,0.03,45.0,1510,2.9284768211920613,0.516976950077536,3.4454537712695976,3.3306690738754696e-16
0.97,0.03,46.49999999999999,1510,2.9284768211920613,0.547110177505328,3.4755869986973904,1.1102230246251565e-15
0.97,0.03,48.0,1510,2.9284768211920613,0.5102959592858634,3.438772780477924,8.881784197001252e-16
0.97,0.03,49.5,1510,2.9284768211920613,0.5469626079826547,3.4754394291747173,1.2212453270876722e-15
0.97,0.03,50.99999999999999,1510,2.9284768211920613,0.5273495211039935,3.455826342296055,3.3306690738754696e-16
0.97,0.03,52.5,1510,2.9284768211920613,0.5011094286429983,3.4295862498350607,9.992007221626409e-16
